participant_id,age_group,sex,coffee_type,presentation_order,odor_rating,flavor_rating,acidity_rating
1,51+,F,Cafe_B,1,4,5,6
1,51+,F,Cafe_D,2,6,5,5
1,51+,F,Cafe_A,3,4,4,5
1,51+,F,Cafe_C,4,2,3,4
2,18-30,M,Cafe_A,1,4,4,5
2,18-30,M,Cafe_B,2,5,6,4
2,18-30,M,Cafe_C,3,3,6,2
2,18-30,M,Cafe_D,4,6,6,3
3,51+,M,Cafe_D,1,6,4,5
3,51+,M,Cafe_A,2,2,3,5
3,51+,M,Cafe_B,3,5,5,4
3,51+,M,Cafe_C,4,4,3,4
4,18-30,M,Cafe_B,1,4,4,4
4,18-30,M,Cafe_C,2,4,3,4
4,18-30,M,Cafe_A,3,5,5,5
4,18-30,M,Cafe_D,4,5,6,5
5,31-50,M,Cafe_B,1,6,6,3
5,31-50,M,Cafe_D,2,6,3,6
5,31-50,M,Cafe_C,3,3,5,4
5,31-50,M,Cafe_A,4,5,3,4
6,31-50,M,Cafe_C,1,3,3,4
6,31-50,M,Cafe_D,2,6,5,4
6,31-50,M,Cafe_B,3,5,6,5
6,31-50,M,Cafe_A,4,5,6,5
7,18-30,M,Cafe_B,1,3,4,5
7,18-30,M,Cafe_C,2,3,6,4
7,18-30,M,Cafe_D,3,4,4,4
7,18-30,M,Cafe_A,4,4,2,6
8,18-30,F,Cafe_C,1,2,4,5
8,18-30,F,Cafe_A,2,7,4,5
8,18-30,F,Cafe_B,3,5,4,6
8,18-30,F,Cafe_D,4,6,6,4
9,31-50,F,Cafe_C,1,5,5,5
9,31-50,F,Cafe_A,2,3,5,5
9,31-50,F,Cafe_D,3,4,5,5
9,31-50,F,Cafe_B,4,5,4,4
10,18-30,Otro,Cafe_A,1,4,4,4
10,18-30,Otro,Cafe_D,2,5,6,5
10,18-30,Otro,Cafe_B,3,6,7,4
10,18-30,Otro,Cafe_C,4,4,3,6
11,31-50,F,Cafe_A,1,5,6,5
11,31-50,F,Cafe_D,2,5,5,3
11,31-50,F,Cafe_B,3,5,5,3
11,31-50,F,Cafe_C,4,4,6,4
12,18-30,M,Cafe_B,1,3,6,5
12,18-30,M,Cafe_A,2,4,5,4
12,18-30,M,Cafe_C,3,2,3,6
12,18-30,M,Cafe_D,4,6,5,5
13,31-50,M,Cafe_C,1,4,5,4
13,31-50,M,Cafe_B,2,5,6,4
13,31-50,M,Cafe_A,3,3,4,5
13,31-50,M,Cafe_D,4,5,6,6
14,31-50,F,Cafe_A,1,3,3,5
14,31-50,F,Cafe_D,2,4,6,4
14,31-50,F,Cafe_C,3,2,5,3
14,31-50,F,Cafe_B,4,4,4,5
15,31-50,F,Cafe_C,1,5,5,4
15,31-50,F,Cafe_B,2,5,4,4
15,31-50,F,Cafe_A,3,4,5,7
15,31-50,F,Cafe_D,4,3,6,3
16,18-30,F,Cafe_A,1,2,5,4
16,18-30,F,Cafe_D,2,6,5,5
16,18-30,F,Cafe_C,3,4,5,6
16,18-30,F,Cafe_B,4,4,5,4
17,31-50,F,Cafe_C,1,3,6,4
17,31-50,F,Cafe_D,2,5,6,3
17,31-50,F,Cafe_A,3,5,6,5
17,31-50,F,Cafe_B,4,6,4,6
18,18-30,F,Cafe_C,1,3,4,4
18,18-30,F,Cafe_D,2,4,5,6
18,18-30,F,Cafe_B,3,7,4,4
18,18-30,F,Cafe_A,4,5,7,5
19,31-50,M,Cafe_A,1,4,4,5
19,31-50,M,Cafe_B,2,5,6,3
19,31-50,M,Cafe_C,3,6,2,4
19,31-50,M,Cafe_D,4,5,5,4
20,18-30,F,Cafe_A,1,3,4,6
20,18-30,F,Cafe_C,2,4,5,4
20,18-30,F,Cafe_D,3,5,5,5
20,18-30,F,Cafe_B,4,5,7,3
